tweets,target
"It is not finished, there is more work to come 👌🏻👌🏻 For those who bought electric carts, Mutan work is also coming 👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻 Now there will be a separate charge for it 👌🏻👌🏻👌🏻 Those who took it are happy 👌🏻👌🏻",0
Would you say that now you know the loss of not having Sarita anymore?😅 0:28,0
The general public does not know that every building owner in Kerala has to pay a goonda collection of Rs.,0
The time is not far when people will deal with this.... Ri,0
"I knew these bastards would do something like this from the beginning. I bought a CNG vehicle in 2019, then the price of CNG was below 40 per kilo. After corona, just two years later the price reached 80+ per kilo. Now I know very well, this place is like this.",0
"Do not connect with KSEB.

Use solar personally...",0
"When I came up with this project, I said that I would make it fit and then finally cut the cone. That's what we see now.",0
"A thousand thanks and congratulations to the other country Saiyan Chetan for releasing this. I saw the new Xiv and asked for it. God saved me, Sajan sir. I am withdrawing from the scheme given to the government. It is good, Sajan sir.",0
"This is all about this class, a group to harm the people, and a number to justify this too.",0
Leaders can do anything when there are members of the party who live only to see the leaders' families and their relatives become millionaires by any means.,0
"When we are facing power shortage due to excessive consumption by consumers due to the summer which is being repeatedly said by KSEB, is it not essential that Government encourages solar energy which also is green energy to generate by residents and transfer to grid which will help to a great extent in power shortage. As a layman I feel so. The media should project this in public interest",0
"Show me the cone in his hand, stupid",0
Is it possible to delink from kseb now?,0
Even the British car did not do this to the Indian National Congress.,0
"Pinarayi and his gangs need crores to sustain each day. Now there are no departments left to raise taxes. After sitting down and thinking about it, Pinarayi Vijayan decided to weed out those who have taken solar power and those who are going to take it. We should also realize that the realization that there will be no return in this life prepares Pinarayi for any cruelty.",0
My brother's house has a solar panel installed in the same way. What right does Pinarayi have to share the sun and light that God has given as a gift to the public?,0
"During the day, use solar to collect water in a tank above the house, or at a higher point in the field.
At night, this water can be returned to the well or pond through the generator, thus saving the battery in gardens and other areas and making it dry.",0
God will not allow repeated cheating!,0
"The drain on the battery while off grid is huge. Also the battery life is 5-6 years. A normal battery costs around 18000 rupees and if it is a lithium battery it is more than double. Not only that, generation charge is also charged for the electricity we generate. As soon as we know that Modi is encouraging one crore people to install solar by giving subsidy, the generation charge will be increased from April.",0
Just ask LDF leaders how they can fool people.,0
now It doesn't matter if you moan. Another one of this. version is shown to the Kerala government. Then you are with the center. didn't you stop Getting it now. buy it,0
